review,label
nó rất tốt và tôi hài lòng về nó,1
"So với chiếc Samsung cũ của tôi thì chiếc điện thoại này hoạt động khá tốt. Nhạc chuông đủ lớn để nghe và điện thoại thực sự sạc nhanh và có thời lượng pin tuyệt vời. Nó cũng không nóng lên như một củ khoai tây trong lò nướng trong suốt thời gian dài sử dụng điện thoại. Màn hình lớn, sáng đẹp. Cách dễ thương để tùy chỉnh nó. Thanh cuộn có thể được đặt thành màu tím, hồng, thủy, cam, v.v. ",1
"Yêu thích điện thoại này. Đây là một chiếc điện thoại tuyệt vời, đáng tin cậy. Tôi cũng đã mua chiếc điện thoại này sau khi chiếc samsung A460 của tôi bị chết. Menu dễ hiểu và quay số nhanh có sẵn cho khoảng 300 số. Quay số bằng giọng nói cũng là một tính năng hay, nhưng mất nhiều thời gian hơn so với quay số nhanh.",1
"Yêu điện thoại, NHƯNG ...! Tôi yêu điện thoại và tất cả",1
"Dịch vụ điện thoại và các tùy chọn tuyệt vời Chiếc điện thoại này rất tuyệt vời cho mọi mục đích mà nó mang lại,",1
Rất hiệu quả đối với tôi,1
Tôi KHÔNG gặp vấn đề gì với pin hoặc các hộp đựng mới - hiện tại nó có một hộp đựng cá mới và nó vẫn tốt như ban đầu. Tôi đã thêm nhạc chuông và nhạc nên tất cả đều tốt cho tôi.,1
"Muốn Nokia tuyệt vời? Bạn có nó ở đây! Mát mẻ, Rẻ, Màu sắc: 3 từ miêu tả Nokia 3588 một cách hoàn hảo.3588 cũng có một số nhạc chuông tuyệt vời. Và tôi sở hữu một cửa hàng điện thoại di động, vì vậy tôi có kinh nghiệm. TÔI ĐÁNH GIÁ ĐÂY LÀ ĐIỆN THOẠI TỐT NHẤT THỨ 5 MÀ TÔI ĐÃ TỪNG CÓ ĐƯỢC TRONG CỬA HÀNG CỦA TÔI.",1
Vấn đề với tai nghe phổ thông 3588i 3599i nhìn chung là một chiếc điện thoại đẹp,1
"điện thoại tuyệt vời !!!!!!!! Tôi chưa bao giờ sở hữu một chiếc điện thoại Nokia trước đây, vì vậy đây là lần đầu tiên đối với tôi. Tôi thực sự thích điện thoại rất nhiều, khả năng thu sóng rất tốt ... mặc dù cường độ tín hiệu đang ở mức thấp. Chất lượng của điện thoại cũng tuyệt vời, nó cảm thấy chắc chắn và có trọng lượng. Tôi rất khuyên bạn nên sử dụng điện thoại này.",1
"hoạt động tuyệt vời, nhưng đừng bỏ qua nó Tôi đã có chiếc điện thoại này hơn một năm và tôi thực sự thích nó. Chưa bao giờ thích điện thoại nắp gập, tôi có thể đánh giá cao tính năng này của Nokia. Màn hình màu rất đẹp và tất cả các tính năng đều dễ sử dụng",1
Điện thoại miễn phí tuyệt vời cho khách hàng Sprint. Đây là một sự lựa chọn tuyệt vời để Sprint sử dụng khi đăng ký khách hàng mới cho dịch vụ. Đây là tùy chọn miễn phí cho hầu hết khách hàng mới và nó đã rất tuyệt vời sau một năm sở hữu.,1
Dịch vụ ,1
"Tôi thích nó Tôi vừa mới có nó và phải nói rằng nó dễ sử dụng, tôi có thể nghe thấy người đó nói chuyện tốt và tôi không gặp vấn đề gì khi giao dịch với nextel.tuyệt vời nó là một trong những điện thoại tốt nhất mà tôi từng có. Dịch vụ này là tốt nhất tôi từng có. không có vấn đề gì khi thực hiện hoặc nhận cuộc gọi.",1
Sản phẩm tuyệt vời Sản phẩm đã được rất tốt. Tôi đã sử dụng chiếc điện thoại di động này trong một trong những dự án của mình và nó hoạt động rất kỳ diệu.,1
SẢN PHẨM TUYỆT VỜI CỦA NEXTEL LÀ SẢN PHẨM TUYỆT VỜI DÀNH CHO NEXTEL!,1
"Đẹp,điện thoại hoạt động rất tốt.",1
Tuyệt vời với But !! Mạnh mẽ - rõ ràng là tuyệt vời - dễ sử dụng,1
Tôi cảm thấy thật MAY MẮN khi tìm thấy chiếc điện thoại này,1
"điện thoại đẹp, tốt lên điểm từ bản sửa đổi pantach của tôi. Thiết lập rất sạch sẽ và dễ dàng thiết lập. chưa bao giờ có điện thoại Android nhưng chúng thật tuyệt vời khi nói ít nhất. kích thước hoàn hảo để lướt web và truyền thông xã hội. điện thoại tuyệt vời samsung",1
Rất hài lòng,1
"Nó hoạt động tốt nhưng đôi khi hơi chậm nhưng nó là một chiếc điện thoại rất tốt, tôi thích nó",1
Điện thoại tuyệt vời để thay thế điện thoại bị mất của tôi,1
No có một màn hình rất đẹp,1
tôi là một phan trung thành của nó,1
"máy ảnh hoạt động tuyệt vời, video cũng tuyệt vời và thậm chí cả trình duyệt web cũng tốt và mang lại cho tôi những gì tôi cần. Tôi cũng nhận thấy rằng thời lượng pin kéo dài hơn",1
Đó là thời lượng pin tuyệt vời. Nó rất nhạy khi chạm vào,1
"Đây là một sản phẩm tuyệt vời mà nó đã có sau hai ngày đặt hàng. Chỉ có một khuyết điểm nhỏ ở bên cạnh, nhưng ai quan tâm miễn là điện thoại có đầy đủ chức năng",1
nó tốt nhất! Tôi đã gặp một chút tình huống với mặt hàng của mình nhưng họ đã nhanh chóng khắc phục sự cố. Tôi rất hài lòng và chắc chắn sẽ mua một điện thoại khác từ họ nếu tôi cần.,1
Điện thoại trông đẹp hơn so với mô tả đã có thể chuyển dữ liệu từ điện thoại cũ sang điện thoại mới mà không gặp vấn đề gì,1
Đó là chiếc điện thoại tốt nhất và tôi yêu nó.,1
Tôi phải nói rằng đó là một mua hàng tuyệt vời. Điện thoại hoạt động tuyệt vời.,1
Trông màu này rất đẹp,1
Tôi rất ưng nó hoạt động mượt mà,1
Tôi yêu điện thoại. Nó làm mọi thứ tôi cần và hoạt động tuyệt vời.,1
"màn hình đẹp, có khả năng chạy chrome, chụp ảnh đẹp, bàn phím thoải mái, bỏ vừa túi và vừa tay, chơi video rất hay, chạy nhanh rất nhanh,",1
Điện thoại tốt chỉ là một chiếc điện thoại cũ hơi chậm nhưng nó là một chiếc điện thoại tuyệt,1
Nói chung là rất hài lòng với điện thoại.,1
điện thoại là tuyệt vời và trong tình trạng tốt. Con gái của tôi rất hạnh phúc khi trở thành người dùng andriod ngay bây giờ !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
Điện thoại hoạt động tốt. Không sao cả,1
Camera ngon pin đủ 1 ngày dùng,1
điểm mạnh nhất của con 8 1 này là camera + pin đấy bác,1
"Màn hình đẹp, ngoại hình cũng đẹp, Pin khá dùng cả ngày được.",1
"Cam chụp đẹp lung linh với độ phân giải 20MP, pin trâu bò nên b hốt là chuẩn nè",1
Hoàn hảo về mọi mặt.,1
Chỉ cần có điện thoại này và nó là một điện thoại tuyệt vời. Nó rất dễ sử dụng.,1
Chiếc điện thoại này rất tuyệt nhưng nó đã cũ đi nên đã đến lúc phải thay thế. Nó thật tuyệt khi nó kéo dài.,1
Điện thoại này đã đến trong tình trạng tuyệt vời! Giá cả tuyệt vời và nó mang lại những kỷ niệm tuyệt vời khi sở hữu chiếc điện thoại này!,1
Đáp ứng tất cả sự mong đợi của tôi. Tôi không thể phàn nàn gì cả. Giá cả tuyệt vời!,1
Thông minh hào hảo trên cả tuyệt vời,1
"Tôi thích chiếc điện thoại này, tôi đã mua nó cho mẹ tôi và bà ấy rất thích nó",1
Rất thiết thực và thân thiện với người dùng điện thoại. Tôi rất hài lòng với nó.,1
Điện thoại sắc nét và đẳng cấp,1
rất tốt,1
rất tốt,1
Thông minh,1
Một người bạn đã đề cập đến chiếc điện thoại này với tôi và nó xứng đáng với những gì anh ấy đã nó,1
Vận chuyển nhanh chóng và đúng như những gì tôi mong đợi!,1
Hoạt động tuyệt vời cho giá cả!,1
sự lựa chọn hoàn hảo,1
"Điện thoại tuyệt vời cho con trai út của tôi, với các tùy chọn đi bộ hợp lý và chất lượng là trên hết",1
rất tốt,1
điện thoại rất chắc chắn,1
Sự lựa chọn tốt,1
"hoàn hảo, thiết thực, dễ xử lý, độ phân giải tốt, đóng gói tốt",1
sản phẩm xuất sắc !! ,1
tuyệt vời,1
tôi thích,1
Tuyệt quá. Đã đến một cách nhanh chóng.,1
Điện thoại hoạt động tốt.,1
Quá ngon với tầm giá mình sẽ ủng hộ tiếp . Pin trâu Cấu hình ngon nn nnnnnnnnnn,1
Hàng chính hãng giá cả phải chăng rất tốt so với tầm giá chỉ thì hơi yếu xài hơi lắc cảm ơn sớm,1
"Hàng chất lượng,shop uy tín ,giá cả phải chăng.",1
Chất lượng sản phẩm phù hợp với giá tiềnnnnnnnnnnnnnnnnnn!!!!!!!!!!!!!!,1
Điện thoại cầm gọn tay. Dễ sử dụng.,1
"Sản phẩm khá ok, giao hàng nhanh, tốc độ hơi chậm nhưng chấp nhận dc! ",1
bảo đảm tốt,1
rất là bảo đảm,1
Cực kì hài lòng,1
chất lượng khỏi chê,1
đáng đồng tiền bát gạo,1
Mình cũng vừa mua xong..đẹp.thời trang.phong cách.🥰...cái smatphone này rất tốt,1
Mới mua samsunga51 chưa được  1 tháng mà bị đứt màn hình nó biết lý do,1
"Samsung rất chiều lòng khách hàng, chuyện là A51 của em mới cập nhật lên bản mới này, em mới lên như giờ trong hình, nghe xong liền 3 bài nhạc tầm 15p liên tục bằng tai nghe bluetooth và kết quả là không còn đứt nhạc, giật trong khi nghe, âm thanh to rõ. Có tiến triển mới mình bái cho anh em sau nha. À mà khoảng cách kết nối bluetooth đc xa hơn khoảng cách cũ ấy ạ😁😁😁. Đề nghị lên gấp!",1
Máy xài rất ok .tuy không mua ở tgdd.máy pin cầm xài trung bình hơn 1 ngày dài.cảm thấy rát ok,1
"Sản phẩm rất tốt nhé mọi người. Sản phẩm vừa mới ra là em mua liền á. Em mua từ ngày 27/12 đến giờ sài ngon cơm lắm, mượt máy, chụp hình đẹp cực luôn á. Tại em ko chơi game nên máy rất mượt, em cũng hay chăm sóc thiết bị bằng cách xóa bộ nhớ đệm những ứng dụng ko cần thiết. Pin thì em sài từ sáng đến tối còn chưa chịu hết. ( ko chơi game nhé). ",1
"Dùng được 6 tháng máy ổn pin trâu, kg có gì để chê sẽ giới thiệu sản phẩm cho người thân và công ty, chúc samsung ngày càng phát triển.q",1
"Galaxy A51 đã được cập nhật One UI 3.1, mang đến trải nghiệm rất trơn tru và mượt mà.Cá nhân mình cảm thấy rất hài lòng với sản phẩm này. Thân!Chất lượng sp thì chưa biết. Nhưng cho 5 sao cho em tư vấn và em quản lý 233 nơ trang long BT",1
"Sản phẩm đúng là sự lựa chọn tuyệt vời trong phân khúc. Camera ấn tượng, màn hình siêu nét và những tiện ích mà Samsung mang lại. Hơi đáng tiếc 1 điều là pin sử dụng chỉ vừa đủ cho nhu cầu cá nhân. Nhìn chung thì đây vẫn là một option xứng đáng từng xu",1
"Sản phẩm rất tốt, xài rất ngon, tôi mua hàng cũ mà như mới vậy. Hy vọng sẽ sử dụng được lâu dài.",1
"Xai ok , tiiết kiệm nghĩ sâu lâu hết pin, noi chung xai a51 cung ngon.............",1
Qua 4 tháng sử dụng nghe gọi tiếng lớn từ loa trong đến loa ngoài chụp ảnh đẹp lượt web mượt pin trâu cảm ứng chế độ 2 chậm mờ khóa vẫn tay chuẩn nói chung rất ok,1
Có hao pin k bạn.sao của mình để k xài cũng hết pin,1
"Sản phẩm tốt, mượt mà, vân tay nhạy. Xem youtube, lướt web quá tốt. Sản phẩm vừa túi tiền cho thu nhập tầm trung",1
"Dùng gần 1 tháng thấy rất okkkk luôn, màn hình đẹp, chụp hình cũng đỉnh, lướt rất mượt, pin đủ dùng 1 ngày. Bù qua sớt lại thôi, điện thoại mỏng cực, cầm rất nhẹ tay nên pin có thể dùng liên tục trong 1 ngày là hợp lý rồi. Nên tự mình dùng để cảm nhận chứ đừng nên quá tin vào những bình luận tiêu cực nhe 💖",1
Bạn mua nhiêu tiền,1
"Mình mới mua máy tuần trước, xài thấy rất tốt luôn, pin trâu, lướt fb, tiktok, video call các kiểu nhưng 2 ngày mới sạc, camera thì khỏi bàn, siêu hịn luôn :))) các bạn cứ cmt chê bai các kiểu là sao mình không hiểu, bạn nào còn băn khoăn thì cứ mua đi nhé, mua tự trải nghiệm đừng hoang mang khi thấy nhiều đánh giá kém <3",1
Bạn cho mình hỏu chút tần suất bạn dùng máy như thế nào vậy,1
Mình mua hơn 1 tháng có đánh giá như sau.pin sài 3g liên tục trong ngày ok.cảm biến vân tay tới bàn phím rất mượt.chơi gam thì khỏi phải bàn.camera trước sau đẹp.điểm trừ là chụp củ chỉ kém quá.nói chung lại a51 giá tầm này so với chất lượng như vậy là ok cho 5*,1
Máy tốt thiết kế khá đẹp so với tầm tiền. Màn hình nhìn nịnh mắt hơn iphone với các tác vụ bình thường thì ok. Chơi game nặng mượt khi để đồ họa thấp. Máy hơi lag tí khi mới tắt nguồn bật lại,1
Sau 4 tháng sử dụng mình cảm thấy rất tuyệt vời chụp hình siêu rõ nét pin chuẩn lâu tác vụ hằng ngày và chơi nhiều tựa game dung lượng cao điều tuyệt vời cả. MÌNH KHUYÊN CÁC BẠN NÊN MUA TỰ TRẢI NGHIỆM ĐỪNG NGHE BẮT CỨ AI CẢ THÍCH THÌ MUA KHÔNG THÍCH THÌ THÔI NHIỀU BÌNH LUẬN KHÔNG ĐÚNG SỰ THẬT ĐÂU. ,1
"Từ iphone thử android , sau 1 tuần khá hài lòng với e A51: chơi game ổn (toàn chơi game bắn súng đua xe các kiểu cần dung lượng ram nhiều), chụp hình đẹp, lướt web web mượt. Em này là trung gian giữa e a31 và a71. Nhận diện khuôn mặt rất nhạy còn cảm biến vân tay còn tùy vào tay bạn có sạch không và do vướnmiếng dán màn hình nên không nhạy bằng là đúng rồi. Các bạn nên chọn 3 lựa chọn vân tay cho nhạy hơn  ",1
"Samsung hay bị chê nhiều nhưng mình là người theo dõi công nghệ chục năm nay, chưa bao giờ hết thất vọng vì nỗ lực của hãng công nghệ này trước các hãng đt giá rẻ chạy android từ Trung Quốc. Còn  nếu muốn  dùng đơn giản không vọc vạch đau đầu nhiều thì iphone chính là vị thế đó. ",1
Khá là ok mua đợt giảm giá còn 6.490 giá khá là ok,1
Mua về làm vlog chắc ok ,1
Đó là cảm nhận ban đầu còn về sau thì không biết thế nào,1
Liên quân thấy ok. Nè.. cam ok. Góc rộng ok coa điều gốc rộng làm ảnh chân dung hơi méo mó tý. Nhing nay biết cách chụp thò ok..nói chung đáng giá. Tiền bỏ ra...,1
"Máy này tốt màn đẹp gia công cực tốt, nhẹ cầm lâu nằm xem phim không mỏi tay, hiệu năng tầm này là dc không cần cao quá , để bù trừ thứ khác, có thương hiệu, icon ứng dụng nhìn dễ chịu, nói trung là không phải chê máy tàu do trung + sản xuất nó chỉ dc cái quảng cáo nào cấu hình khủng,sài củ đi một cái là sọt rác mất hứng thú ngay , không dc như samsung hay iphone.",1
"Máy vừa tay thiết kế đẹp. Pin vừa đủ, máy ko bị nóng. Camera và màn hình siêu đẹp. Màu máy đẹp  Máy nhiều tính năng hiện đại. Nhưng chip không mạnh lắm, cảm biến vân tay hơi chậm, nhưng cũng có nhận diện gương mặt bù lại. Nói chung 4 sao cho những ai cần chơi game đồ họa cao.  Còn ko chơi, hoặc chơi ở mức trung bình thì phải nói là tuyệt vời. Cho 5 sao",1
"Pin tốt sac nhanh, camera đẹp, nhân vien tư vấn nhiệt tinh. Nói chung là Đáng mua trong tầm giá",1
"quay phim chụp hình rất đẹp. mọi thứ  trên máy mình thấy rất êm. Mình rất tin tưởng khi mua những sản phẩm tại thế giới di động, hay điện máy xanh.vì thường xuyên mua hàng nên mình được TGDD chọn là khách hàng thân thiết. Mỗi lần mua đồ là hay được giảm giá. 😁 hi....Nhưng nhân viên ở thế giới di động địa chỉ : Nguyễn Hữu Cảnh, ấp Long Hòa, TT. Chợ Mới, H. Chợ Mới, T. An Giang (ngay ngã tư đèn xanh đèn đỏ). Mình mới dán keo với dán màng hình lại  nhân viên ở đó họ dán keo, với dán màng hình cho điện thoại mình. Ẩu quá ...Ad ơi... miếng dán màng hình mình thấy khác miếng dán điện thoại của mình, hình như ấy miếng dán màng hình điện thoại khác dán vào điện thoại của mình. Mình thấy miếng dán nhỏ hơn. Mong Ad nói với quản lý ở đó điều chỉnh nhân viên lại.",1
"Sau 4 tháng dùng thì trải nghiệm vho thấy dt nàu khá tốt về camera, độ mượt khi chơi game, lướt face, độ nhạy vân tay cảm biến, nhưng pin không dc trâu như mong muốn. Nhìn chung đt này khá tốt.",1
ok hàng chuẩn. pin trâu.chơi game mượt.....................................................,1
Ms mua lúc 5/7 dùng tới h cảm nhận riêng của e là máy khá là ok vì máy e ko chơi game chỉ dùng fb youtube chụp ảnh và những ứng khác thấy máy khá mượt có cái là chụp 1 chạm e chưa hiểu lắm còn lại thì ok hết á,1
"Màn hình rất đẹp, chiến game ngon ổn định, camera khỏi chê rồi, Pin trâu, hiệu năng ngob",1
Cảm nhận rất tốt! Để thử dùng 1 tháng xem sao đã! Nói chung ban đầu như vậy là ổn rồi!,1
"Nhân viên phục vụ tốt, máy mượt, màu xám rất sang",1
Vừa túi tiền lại được mua giảm giá,1
Sẽ ghé ủng họ nhiu ạ,1
Máy mượt vân tay cảm biến nhanh PIN tạm ổn màn hình đẹp xem youtube nét nói chung hơn a31 một chút ,1
"Galaxy A51 đã được cập nhật One UI 3.1, mang đến trải nghiệm rất trơn tru và mượt mà.Cá nhân mình cảm thấy rất hài lòng với sản phẩm này",1
"Sau 3 năm sử dụng Samsung A50s,tôi rất hài lòng .Điện thoại được nâng cấp từ Android 9 lên Android 11 mà chạy mượt mà các ứng dụng.",1
Xài thấy cũng im.camera chụp cũng đẹp sao nhiều người chê vậy. Mình thấy sai cũng tốt ,1
Toàn là bình luận này nọ SAO TÔI MỚI MUA về xài này 2 tuần rồi có gì đâu trời...giá giảm 3990 theo mình nghĩ là sẽ khó để k còn bán nữa.cho qua đời máy thôi. Sau này hư tính có gì số,1
"k biết fai hên xui k chứ thấy mọi ng chê wa mà mìh sài thực tế rất ổn k có vấn đề j phàn nàn về a50s cả.mìh k chơi game các tác vụ khác fb,zalo,youtube,đọc báo,shoppee,chụp ảnh,sóg 4g .wifi cũg rất mạnh nghe gọi to rõ,loa trong ngoài đều khá.mih hài lòng vs 1 sp tầm trung thế này",1
Tầm 4t thì cũng ko đòi hỏi nhiều. Sau khi mua máy và 4 lần cập nhật . Cuối cùng cũng ưng cái bụng,1
"Sản phẩm quá tốt so với tầm giá 4490k. Màn hình ổn , sóng mạnh, không như 1 số đánh giá",1
máy sài ok. còn đc giảm mua với giá.4.025.000.khách hàng thân thiết. TGDĐ phuc vụ nhiệt tình mau lẹ. ,1
"Xài khá ổn ,về SS thì ưng bụng đó giờ con A50S này trải nghiệm mượt ,chiến game khỏi bàn",1
"Với giá tiền như vậy, thì chất lượng tuyệt vời, 5🌟, mua về được mấy hôm bị con gái đổi mất .",1
"Tgdd nhân viên phục vụ tận tình,  ",1
"Mấy anh chị không biết dùng thì nói này nói tùm lum, tui sai ngon thấy bà.Chị kia sài máy tháng chê ban lại,tui mua về sài ngon.tất cả ok.",1
"Mình cũng xài thấy bình thường chả có vấn đề gì hết,mà mấy bạn khác cứ chê này nọ",1
"Sản phẩm dùng khá hài lòng, tôi có mua được vài ngày nay. Vấn đề là nhân viên bên tgdd có tư vấn sao lưu các dữ liệu cá nhân. Tôi từ chối, nói sẽ tự làm được, và tôi k thể vào được tk facebook cá nhân mình. Nếu ra tgđ có thể hỗ trợ giúp đỡ k vậy. Cảm ơn tgdd.",1
Mình gần một năm tất cả đều ok.pin tốt sạc nhanh.chơi game ổn ko có gì phải chê cả,1
sài dt thấy nào cũng ok mà có mỗi cái vân tay hơi đụt tay đổ mồ hôi max nhạy còn k thì bấm cũng k ăn dc =)),1
nên dán kính cường lực 100k thì còn sài dc hết,1
Sản phẩm tốt chụp hình đẹp ko chay pin tôi mua màu trắng phối ốp rắt đẹp chơi game cũng mượt,1
"Tốt trong tầm giá ...... mượt, chụp ảnh đẹp, nghe nhạc ok. Mình k chơi game nên thấy ổn",1
"May thiết kế đẹp,  ngon bin   sài  lâu hết  được  một  ngày.  Nói  chung là  quá tuyệt vời. Hai  long  với  tất cả những gi dmx  kinh doanh ",1
Quá  tốt  trong tầm  giá  chơi  liên  quân max setting quá  đã ,1
Tiết cái  máy  lại  trang bị  kính  thường chứ  ko phải là  kính  cường lực slass 3 hay 5,1
"Mua về hơn tháng rồi, máy sử dụng tốt. Rất phù hợp với giá tiền, chụp hình siêu nét",1
Thật sự rất mượt rất tốt. Tầm giá 6tr mà chơi game rất đỉnh. Tôi chơi ff max đồ họa vẫn mượt.,1
Máy trải nghiệm tuyệt vời khi sử dụng gần 2 tháng. Bữa nay chơi game free fire thử 1 giờ 43 phút mất 18% pin. Để qua đêm không mất % nào cả. Sử dụng tầm 2 ngày ok. Chụp hình quay phim quá đẹp. Vân tay màn hình để mỗi cái. Đáng tiền bỏ ra. Lúc đầu định mua đọc bình luận thấy nản. Quyết định mua luôn ai ngờ quá tuyệt vời.,1
"Đt chụp hình rất đẹp, tuy nhiên hơi lag nhưng chơi game nặng thì khá mượt, sp có hình dáng đẹp mắt",1
"Máy này dùng tốt,loa to,cảm ứng nhạy,bọn miền núi quen dùng cục gạch không biết dùng cứ bình luận vớ vẩn,vân tay ở đằng trước phải đặt đúng chỗ nó mới mở,cái thứ hai pin rất tốt 2 ngày mới sạc,thứ 3 là bắt sóng rất tốt 4 vạch vietnammobole và vina phone tại sao anh em cứ bình luận vớ vẩn rồi đánh giá 1 sao...đã mua hàng qua sử dụng tại tgdd 102 phạm văn đồng - hà nội,máy dùng tốt dù đã qua sử dụng,nhân viên ngoan ngoãn lễ phép nhiệt tình chu đáo ,",1
Tôi mua hôm mùng 8/3 máy rất mượt chơi game cả tiếng k nóng camera chụp đẹp pin trâu nc là phù hợp vs giá tiền,1
"Máy xài rất  ok nhưng  vân tay khá tệ ,nhưng  với  tầm giá  này  thì cũng tạm ổn ",1
"Thật ra máy dùng rất ok, vấn đề vân tay không nhạy chỉ gặp vài lần đầu chứ những lần sau ăn tới 90% nếu bạn đặt vân tay đúng chỗ. Nhân viên tgdd rất nhiệt tình",1
"sài đc 6 tháng lúc chưa uống nước muối thì ok lắm ... máy pin xem phim cả ngày , kh bị lag , từ bửa đi biển cho vài ngụm sóng biển thì h lâu lâu hay nhảy chữ th còi những cái khác ổn cả ... xem phim pin vẫn trâu vẫn ok lắm luôn :) ",1
Mình mua A50s thấy rất ok nhân viên nhẹ nhàng tư vấn nhiệt tình mình sạc pin ban đêm dùng cả ngày ko hết cả chơi game nói chung rất ok rát thích,1
ms mua dùng đc 4 ngày thấy máy ngon mượt camera đẹp vân tay ok ổn trong tầm giá xứng đáng cho 5sao nhân viên tư vấn nhiệt tình ,1
"Tôi vừa mua sản phẩm mấy tháng,camera tạm ổn ,pin tốt nhưng sạc nhanh , màn hình cũng ổn, mình rất thích",1
"Tôi đang ý định mua A71 nhưng vào xem đánh giá mọi người bảo pin tụt nhanh,và giật nên chán đang cân nhắc ko biết nên mua ko?nếu đúng bị lỗi thì nhà sx phải điều chỉnh lại để khách còn muốnmua",1
"Sử dụng máy đc 5 tháng. Mọi thứ đều ổn, xem phim màn hình rộng rất thích, pin khỏe,  nhưng mình thấy camera macro của mình chụp k đc nét, nó bị nhiễu nhiễu ko nét như quảng cáo hay máy mình bị lỗi nhỉ",1
"Mình mua được 2 tháng, ko va đập vẫn còn nguyên ốp của hãng mà vỏ mặt sau camera bị gãy như hình. Cho hỏi có được bảo hành ko?",1
